templateID,candidateID,Financial profile,Travel profile,Graphlet profile,Temporal profile,templateEdgeOrder,candidateEdgeOrder
0,584811,0.9945675287269031,,0.76190477,0.9037501963427151,3,45
2,477769,0.9913486409881747,,0.0,,17,25
27,572500,0.9941564229965284,,0.7142857499999999,1.0,14,5
29,500192,0.9885868853808615,,0.0,,18,8
31,480268,0.9903520079450967,,0.0,,19,3
33,516694,0.9862459692826032,,0.0,,20,12
34,615605,0.9918249009448268,,0.6428571649999999,0.9869020607331437,4,17
35,480375,0.9941364508029968,,0.0,,21,10
36,476124,0.9869463161136662,,0.0,,22,9
37,638752,0.9929408547274875,,0.6666667,0.9814767166496726,7,36
38,545850,0.9952341135026204,,0.0,,23,14
39,648781,0.9463422706836531,0.6,0.2857143,0.8939956658715983,2,47
40,612378,0.9035303994397844,0.6,0.6904762,0.8952164858651493,13,43
41,583251,0.9545271003978382,0.6666666666666666,0.8095238,0.8358832913838254,8,44
42,463126,0.992891082439161,,0.0,,24,15
43,482973,0.9951013078405571,,0.0,0.8888602998980359,5,41
44,536715,0.9669634980981636,,0.0,,25,27
45,594766,0.9979328462667425,,0.809523835,1.0,6,32
46,561312,0.9928711026233394,,0.0,,26,30
47,546999,0.9965649965450715,,0.8809523850000001,0.8931895376517633,10,6
48,645393,0.9916473403349153,,0.0,,27,21
49,634283,0.9955222994118068,,0.0,,28,40
52,598220,0.9928538978602439,,0.0,,29,46
53,479204,0.9927895552882757,,0.0,,30,4
54,600329,0.9633405925950118,,0.0,,31,26
55,655636,0.996614645514752,,0.0,,32,29
56,636990,0.9929724528437166,,0.33333335,0.917161358524356,9,23
57,581406,0.9939319773392389,,0.50000002,0.9692826096207635,12,22
58,595539,0.9988245873264421,,0.3809524,0.8813931154226826,1,11
59,558277,0.9994640761193214,,0.0,,33,13
60,652002,0.9992423545327809,,0.0,,34,20
61,508913,0.9971744749973483,,0.0,,35,31
62,597992,0.995467632181919,,0.0,,36,18
63,551810,0.9883308938166028,,0.61904764,0.9907383583248364,0,7
64,497185,0.9839616256015962,,0.0,,37,28
65,593266,0.9934277786108126,,0.6904762149999999,0.9399777018616965,11,16
73,568093,,1.0,0.0,0.8693484661501957,38,37
74,559042,,0.75,0.0,0.921412364398862,39,2
75,463038,,0.6666666666666666,0.0,0.9596294398866768,40,48
77,494508,,1.0,0.0,0.8904147778545026,41,34
78,599441,,1.0,0.0,0.8654668837217538,42,24
79,629627,,1.0,0.0,0.8147671664967266,43,35
80,494556,,0.75,0.0,0.943663633049266,44,42
82,457699,,1.0,0.0,0.8788883196600304,45,33
83,459811,,1.0,0.0,0.958580679262178,46,19
84,460534,,1.0,0.0,0.9126258471846368,47,38
85,566386,,0.8,0.0,0.9060046029240248,48,0
86,463884,,0.6,0.0,0.914611882828312,49,1
87,534237,,0.6,0.0,0.9294654384141402,50,39
